word,count
INIMIZADE,12
TI,1251
DESCENDÊNCIA,142
FERIRÁ,17
CABEÇA,348
FERIRÁS,10
CALCANHAR,6
MULTIPLICAREI,18
GRANDEMENTE,31
DOR,38
CONCEIÇÃO,1
DARÁS,44
FILHOS,2780
DESEJO,69
DOMINARÁ,10
OUVIDOS,286
CAUSA,647
FADIGA,6
PRODUZIRÁ,9
ESPINHOS,39
ABROLHOS,8
SUOR,3
ROSTO,246
PÃO,308
ATÉ,1518
TORNES,2
FOSTE,56
TOMADO,51
ÉS,345
TORNARÁS,4
ADÃO,22
EVA,4
TÚNICAS,15
PELES,24
VESTIU,15
TEM,597
TORNADO,32
NÓS,783
SUCEDA,21
ESTENDA,5
MÃO,1056
TOME,21
COMA,25
VIVA,59
ETERNAMENTE,32
LANÇOU,62
FORA,424
LANÇADO,53
QUERUBINS,63
ESPADA,426
FLAMEJANTE,3
VOLVIA,1
LADOS,50
CAMINHO,604
CONHECEU,25
CONCEBEU,28
TENDO,408
CAIM,21
ALCANCEI,3
TORNOU,138
FILHO-A,1
IRMÃO,382
ABEL,15
PASTOR,46
OVELHAS,208
LAVRADOR,7
CABO,18
OFERTA,573
PRIMOGÊNITOS,37
GORDURA,95
ATENTOU,9
IROU-SE,5
FORTEMENTE,12
DESCAIU-LHE,1
SEMBLANTE,22
IRASTE,3
DESCAÍDO,1
PORVENTURA,314
PROCEDERES,2
LEVANTAR,43
PECADO,379
JAZ,6
PORTA,426
DEVES,10
DOMINAR,3
FALOU,250
ESTANDO,173
LEVANTOU,168
CONTRA,1674
MATOU,117
SEI,106
SOU,570
GUARDA,174
MEU,2197
SANGUE,446
CLAMANDO,23
MIM,1351
DESDE,598
MALDITO,35
ABRIU,57
BOCA,398
RECEBER,43
LAVRARES,1
DARÁ,124
FORÇA,205
FUGITIVO,6
VAGABUNDO,2
PUNIÇÃO,12
POSSA,59
SUPORTAR,21
HOJE,369
LANÇAS,18
FICAREI,12
ESCONDIDO,23
SEREI,98
QUALQUER,228
ENCONTRAR,5
MATAR-ME-Á,2
MATAR,59
SETE,444
VEZES,149
CAIRÁ,50
VINGANÇA,42
SINAL,105
FERISSE,2
QUER,179
ENCONTRASSE,4
SAIU,232
HABITOU,46
NODE,1
QUAL,789
ENOQUE,14
EDIFICOU,98
CIDADE,835
FILHO,2322
NASCEU,63
IRADE,2
GEROU,90
MEUJAEL,2
METUSAEL,2
LAMEQUE,13
DUAS,267
MULHERES,289
DUMA,71
ADA,8
OUTRA,343
ZILA,3
JABAL,1
HABITAM,67
TENDAS,68
POSSUEM,2
GADO,140
JUBAL,1
TOCAM,3
HARPA,30
FLAUTA,17
TUBAL-CAIM,2
FABRICANTE,1
INSTRUMENTO,9
CORTANTE,2
COBRE,36
FERRO,99
