word,count
ESTENDA,5
MÃO,1174
TOME,28
COMA,25
VIVA,57
ETERNAMENTE,51
LANÇOU,69
FORA,435
LANÇADO,45
QUERUBINS,65
ORIENTE,137
ESPADA,429
INFLAMADA,2
ANDAVA,34
REDOR,291
CAMINHO,634
CONHECEU,30
CONCEBEU,34
CAIM,20
ALCANCEI,6
IRMÃO,390
ABEL,16
PASTOR,46
OVELHAS,231
LAVRADOR,9
ACONTECEU,208
CABO,8
OFERTA,404
PRIMOGÊNITOS,21
GORDURA,94
ATENTOU,9
IROU-SE,4
FORTEMENTE,12
DESCAIU-LHE,1
SEMBLANTE,15
IRASTE,3
DESCAIU,1
FIZERES,25
CERTO,100
ACEITO,10
PECADO,350
JAZ,4
PORTA,437
DEVES,9
DOMINAR,7
FALOU,376
SUCEDEU,316
ESTANDO,200
LEVANTOU,194
CONTRA,1704
MATOU,85
SEI,103
SOU,547
GUARDADOR,1
MEU,2161
SANGUE,452
CLAMA,30
MIM,1384
DESDE,705
MALDITO,36
ABRIU,47
BOCA,411
RECEBER,43
LAVRARES,1
DARÁ,135
FORÇA,236
FUGITIVO,2
VAGABUNDO,3
MALDADE,99
POSSA,54
SER,348
PERDOADA,6
HOJE,359
LANÇAS,17
ESCONDEREI,6
SEREI,100
AQUELE,692
ACHAR,46
MATARÁ,16
QUALQUER,241
MATAR,52
SETE,445
VEZES,151
CASTIGADO,10
SINAL,109
FERISSE,2
ACHASSE,3
SAIU,253
DIANTE,1043
HABITOU,55
NODE,1
ENOQUE,20
EDIFICOU,105
CIDADE,847
FILHO,2346
NASCEU,25
IRADE,2
GEROU,226
MEUJAEL,2
METUSAEL,2
LAMEQUE,13
DUAS,279
MULHERES,284
ADA,8
OUTRA,391
ZILÁ,3
JABAL,1
HABITAM,70
TENDAS,83
TÊM,211
JUBAL,1
TOCAM,3
HARPA,29
ÓRGÃO,6
TUBALCAIM,2
MESTRE,69
COBRE,112
FERRO,100
IRMÃ,112
NOEMA,1
VÓS,1681
ESCUTAI,11
MINHAS,319
PALAVRAS,597
MATEI,8
FERIR,55
JOVEM,48
PISAR,9
SETENTA,97
